                                      extracted_emojis                              Sentiment_score
256  i love this app becuz its fun and there are no...     (0.5583333333333333, 0.6583333333333333)
257  easy to use and fun in blending in videos and ...     (0.3666666666666667, 0.5166666666666667)
258  i love it its such a fun app and nice way to b...    (0.30727272727272725, 0.5509090909090909)
259  awesome app...thanks you very much triller to ...   (0.48666666666666664, 0.48666666666666664)
260  very engaging and cool to use. love the interf...                 (0.3925, 0.5900000000000001)
261  v.nice personally using this app i feel so goo...                   (0.3, 0.47500000000000003)
262  it does not useto save on my gallery direct un...                                  (0.05, 0.2)
263  your need to add list of viewer on each person...                                   (0.0, 0.1)
264  triller is fun and exciting i love making diff...                                (0.275, 0.55)
265  this app good but needs a lot of improvements ...                                  (0.6, 0.55)
266  the reason of tik tok video editor wing the fa...                                   (0.0, 0.0)
267  it is very useful.. it makes life easy for me ...     (0.4116666666666667, 0.4166666666666667)
268  just downloaded!!!! awesome effects and editin...                                   (1.0, 1.0)
269  triller is amazing! it's a bit like tik tok bu...     (0.6145833333333334, 0.7166666666666667)
270  i once used this app but when i resume install...                                   (0.0, 0.0)
271  just love it not like others to short of video...    (0.23333333333333334, 0.4333333333333333)
272  this is awesome the chang and all its just i c...                                   (1.0, 1.0)
273  i am the official magnum rudeboy i love trille...                (0.69375, 0.6166666666666667)
274  the application is good, but there is a proble...                  (-0.03333333333333336, 0.5)
275  just like tik tok which is an easy adaption an...    (0.43333333333333335, 0.8333333333333334)
276  thanks for this apk, but the old version is ea...   (0.24444444444444446, 0.41111111111111115)
277  i like this new app looks great video qualitie...      (0.6272727272727272, 0.630909090909091)
278  love this app. it's very fun. if you love danc...                 (0.47250000000000003, 0.515)
279  better than tiktok. tiktok crashes everytime i...                                   (0.5, 0.5)
280  very good app, easy to use and straight to the...     (0.5144444444444444, 0.6711111111111112)
281  just like tiktok but you can get fun and creat...                                   (0.4, 0.6)
282  my kids love it.. great way for them to do som...                                (0.75, 0.675)
283  great app been using since 2016 but now recent...     (0.3333333333333333, 0.4666666666666666)
284  it is not a good app this is very nice app i a...                 (0.31799999999999995, 0.592)
285  why can't we save videos without posting.........                                   (0.0, 0.0)
286  this good app like tiktok please provide messa...                    (0.7, 0.6000000000000001)
287  i really love it because you can dance post an...                                   (0.5, 0.6)
288  its awesome but would love to be able to remov...     (0.6666666666666666, 0.7416666666666667)
289  the app is alright but needs improvement of bu...                                   (0.0, 0.0)
290  i think this better option shoot videos and up...                                  (0.5, 0.55)
291  a very diverse application for video editing a...                                   (0.2, 0.3)
292  keeps freezing and closing. i have tried unins...                                   (0.0, 0.0)
293  please help me from previous feedback i see it...   (0.26666666666666666, 0.38333333333333336)
294  is fun it's enjoyable and it has a lot of song...                                   (0.4, 0.4)
295  hi triller iam new but this the coolest app ev...    (0.44318181818181823, 0.6772727272727272)
