                                      extracted_emojis                               Sentiment_score
286  please prioritize heart react button on facebo...      (0.4000000000000001, 0.2333333333333333)
287  experience with facebook i haven't been able t...     (0.13333333333333333, 0.4749999999999999)
288       it is great fun with lmproving vocab memory.                                 (0.55, 0.475)
289  please bring back our darkmode theme.... it's ...    (0.23333333333333336, 0.26666666666666666)
290  facebook is one of my favorite apps, i use it ...     (0.28928571428571426, 0.4225274725274725)
291  i like the app but i can't see the new page ex...     (0.15757575757575756, 0.3696969696969697)
292  amazing application for sharing emotions which...   (3.700743415417188e-17, 0.6333333333333333)
293  crashing constantly in 3 seconds for the last ...                    (0.0, 0.19999999999999998)
294  the first time since we have been a long term ...     (0.39999999999999997, 0.6119047619047618)
295  the new features added the past three years ar...     (0.21212121212121215, 0.5348484848484848)
296  very informative app. just don't talk too much...     (0.3290909090909091, 0.48863636363636365)
297  i & my family & friend's are all here on faceb...                                    (0.4, 0.5)
298  really i don't understand facebook theme, righ...   (0.016428571428571424, 0.42892857142857144)
299  love facebook especially i can have groups to ...                   (0.225, 0.6714285714285715)
300  it was so easy but it just takes a little long...    (0.033561197916666674, 0.6666666666666667)
301  not really sure what is going on & how this is...    (-0.37083333333333335, 0.6962962962962962)
302  this service is very nice as well as knowledge...      (0.4066666666666667, 0.5333333333333333)
303  not able to get this app to work properly, plu...     (-0.0986607142857143, 0.6138392857142858)
304                         nice features and systems.                                    (0.6, 1.0)
305  like it alot just wish monitired more for the ...                                  (0.15, 0.45)
306  nice but danger social media same subject good...     (0.17777777777777773, 0.5208333333333334)
307  i can't post a lyrics on a music on a story . ...                                    (0.0, 0.0)
308  it's use for educational and entertainment bes...                                (0.625, 0.275)
309  i m using this app from least 8 year's old . i...     (0.20666666666666664, 0.3533333333333334)
310  nice app video call video message and number o...   (0.045963718820861664, 0.48747165532879816)
311  when i get ready to look up something,i always...                                    (0.2, 0.5)
312  the facebook app does more than help you stay ...     (0.15833333333333335, 0.5358333333333334)
313  facebook is definitely one of the best apps an...                 (0.3866666666666667, 0.51375)
314  i'm getting a virus detection on facebook from...    (0.13055555555555556, 0.44722222222222224)
315      this is very easy and simple or very nice app      (0.4477777777777778, 0.7857142857142857)
316  i am not getting facebook professional option ...                                  (0.05, 0.55)
317  i have not been receiving great number of frie...      (0.21570247933884296, 0.378099173553719)
318  very useful app for social media by the help o...    (0.20583333333333334, 0.14166666666666666)
319  it's very helpful platform for online buisness...                    (0.24000000000000005, 0.4)
320  i get dizzy while browsing on the news feed be...                  (-0.30000000000000004, 0.55)
321  at 87 sometimes i don,t understand everything ...                                  (0.55, 0.55)
322  professional mode is the facebook update more ...                                    (0.3, 0.3)
323  this app is great, good for school or work rel...      (0.3333333333333333, 0.7361111111111112)
324  fun to just get on when you have free time. it...     (0.45579545454545456, 0.5168181818181818)
325  they are ready to close my account and i don't...     (0.31233766233766236, 0.6470779220779221)
326  i do like facebook but i know that i just didn...   (0.004166666666666652, 0.37083333333333335)
327  thank you so much facebook and team ! i love y...    (0.40590503246753246, 0.47922077922077927)
328  this is very useful for my everyday living, as...                                   (0.07, 0.3)
329  request to facebook authority to enable reel o...   (0.016666666666666666, 0.19230769230769232)
330  my facebook professional dashboard ads on reel...                                    (0.1, 0.1)
331  splendid app! a fascinating way to be connecte...      (0.8583333333333334, 0.8833333333333334)
332  fast and good connection to my family and rela...                  (0.425, 0.48750000000000004)
333  great app, very excellent... though i'd like t...      (0.3897727272727272, 0.7079545454545455)
334  this is very nice but sime problem iam facing ...                  (0.1975, 0.6666666666666666)
335  great features able to advertise my business a...                                (0.65, 0.6875)
336  y'all disabled my accounts a lot of times, thi...                                  (-0.1, 0.15)
337     excellent,iwant last 10 years uploaded photos.                    (0.0, 0.06666666666666667)
338  very good app but update problem and live vide...      (0.5231818181818182, 0.6400000000000001)
339  it is a very nice app,we can know unknown thin...                                   (0.34, 0.8)
340  before the update,facebook was the best app. b...                                   (0.8, 0.65)
341  keeps me i touch with people from all chapters...                                (0.375, 0.875)
342  i love the app because it's helpful in alot ar...                   (0.42000000000000004, 0.43)
343  verry good but in my mobile not showing videos...                     (0.7, 0.6000000000000001)
344  with facebook i feel like i can reach out at a...                             (-0.0625, 0.6875)
345  have been connected to relatives and friends a...                    (0.4, 0.44999999999999996)
346  this app is a time pass app .... if you downlo...                                   (-1.0, 1.0)
347  wow this has been an amazing app ever though t...      (0.2866161616161616, 0.6757575757575758)
348  the app is great of course. just wanted to wri...                   (0.19666666666666666, 0.53)
349  i just have a problem login my account (hacked...                                  (0.26, 0.78)
350  facebook hurts me lot , my old account doesn't...                                  (0.05, 0.35)
351              easy to use with features in facebook     (0.43333333333333335, 0.8333333333333334)
352  facebook i really like i have enjoyed it enter...                    (0.3, 0.36666666666666664)
353  very good app but lately my picture -in-pictur...     (0.30499999999999994, 0.6900000000000001)
354  i like facebook. even as a app. keep up the gr...                                (0.65, 0.6875)
355  for more information, please visit the help ce...     (0.09999999999999999, 0.4035714285714286)
356  i've always been a fan of fb light it's much f...                               (0.1875, 0.375)
357               very nice but data spirit and mb end                                   (0.78, 1.0)
358  i have always loved fb because i love people. ...     (0.17705627705627705, 0.5441558441558442)
359  it's good but some times make difficult to acc...                    (0.09999999999999998, 0.8)
360  dear facebook team, your security system by mi...                                (0.275, 0.675)
361  absolutely amazing application because we have...     (0.37142857142857144, 0.5095238095238095)
362  it's a good social media platform.but, it woul...     (0.24166666666666667, 0.4015151515151516)
363  i trusted facebook and it's a very good thing ...     (0.20199999999999996, 0.8560000000000001)
364  facebook is a great social media site that let...     (0.4611111111111111, 0.38055555555555554)
365  it was wholesome experience come across friend...     (0.16833333333333333, 0.6666666666666666)
366  facebook / meta makes an awesome product with ...                     (0.6, 0.5833333333333334)
367  the one of best social apk ever but my account...     (0.5166666666666667, 0.18333333333333332)
368  it's very useful application because facebook ...                   (0.20600000000000004, 0.26)
369    good social media place and also excellent work      (0.5777777777777778, 0.5555555555555556)
370  please undo last update as in marketplace won'...                    (0.0, 0.06666666666666667)
371  i really enjoy putting music   on my private s...                    (0.26, 0.5349999999999999)
372  you enjoy every bit of it.you may not be able ...    (0.19999999999999998, 0.44166666666666665)
373  it's an extra good one more than fb lite this ...     (0.39999999999999997, 0.4000000000000001)
374  dear facebook team my facebook story is not up...                                    (0.0, 0.0)
375  i love the way the app is and l can send messa...                                    (0.5, 0.6)
376               very nice sight but to many scammers                                  (0.64, 0.75)
377  meta facebook is giving me a hard time opening...     (-0.2916666666666667, 0.5416666666666666)
378  facebook:this app is very good but this app is...      (0.2599999999999999, 0.6500000000000001)
379  i love facebook,they always remind us past mem...                                (0.125, 0.425)
380  i love this beautiful and amazing app facebook...                    (0.49000000000000005, 0.7)
381  okay dude that was fast, i reported something ...    (0.26999999999999996, 0.42000000000000004)
382  dearest friends and folk at facebook corp and ...  (-0.051851851851851864, 0.12962962962962965)
383  there has been times when my name and email ad...                                  (0.25, 0.95)
384  very good app to use the interface is very eas...      (0.7366666666666666, 0.8900000000000001)
385  it's a very fast,easy way to keep in contact w...                                    (0.2, 0.3)
386  it's really active apps. so, i suggeste to eve...                   (-0.13333333333333333, 0.6)
387  it's so amazing and best way to earn money by ...     (0.5333333333333333, 0.43333333333333335)
388  i like the facebook app if i want to see the n...                                    (0.0, 0.0)
389  posting photos in facebook are low quality, pl...                                    (0.0, 0.3)
390  i had a lovely time on facebook and it's only ...                    (0.3333333333333333, 0.75)
391  i have used facebook for many years mostly jus...                                    (0.5, 0.5)
392  very fast to communicate around the world,the ...                                  (0.63, 0.54)
