                                      extracted_emojis                               Sentiment_score
361  very clear lettering, quick, and easy on the e...     (0.45166666666666666, 0.6529166666666667)
362  home screen should be able to customise, it's ...     (0.15714285714285717, 0.6178571428571429)
363  i can only say one thing, this is most cleanes...      (0.3111111111111111, 0.6091269841269842)
364  i feel massively more confident about the priv...                   (0.327, 0.6386666666666667)
365  very reliable and great alternative to the wel...                    (0.45, 0.5700000000000001)
366  text message security and it integrates with e...                                    (0.5, 0.6)
367  great tool to use for a group travelling toget...      (0.2916666666666667, 0.5083333333333333)
368  love the app. smooth and i feel safe about my ...                  (0.22499999999999998, 0.625)
369  i love the piece of mind of this app, it's muc...                   (0.35, 0.45000000000000007)
370  i switched to signal bc it's reportedly the sa...      (0.2712121212121212, 0.6575757575757576)
371  great it's been a great experience using signa...      (0.6119047619047618, 0.8119047619047619)
372  not much to tell yet, only used it once so far...                    (0.08, 0.5914285714285714)
373  awesome app. better privacy than telegram,as i...                              (0.53125, 0.625)
374  it is good. it has a wonderful privacy, since ...      (0.7999999999999999, 0.7333333333333334)
375  great app, easy to use, even my non tech savvy...      (0.3666666666666667, 0.6666666666666666)
376  easy to install and use. lightweight. send and...    (0.016666666666666663, 0.7166666666666667)
377  fast. little data usage. reliable even with ba...     (0.07812500000000006, 0.5166666666666666)
378  functional, spam-free, and private way to mess...    (0.17395833333333335, 0.42291666666666666)
379  if you're care about your privacy and really i...     (0.17333333333333334, 0.4266666666666666)
380  everything perfect but the privacy lock should...     (0.42986111111111114, 0.6659722222222222)
381  one request: in the shared media section of a ...    (-0.08541666666666667, 0.6520833333333333)
382  messaging app at its finest. we could still us...                   (0.175, 0.6000000000000001)
383  hands down the best messaging app. in terms of...      (0.5111111111111112, 0.2722222222222222)
384  the only issue i have is saving texts when mov...     (0.21212121212121213, 0.6515151515151515)
385  this app is useful, because you can send a men...                    (0.5, 0.30000000000000004)
386  first time traveling to europe and couldn't im...                  (0.125, 0.21666666666666667)
387  a lot of my contacts do not use this app so i ...                  (0.34400000000000003, 0.621)
388  one of the best secure chat programs i have us...                                    (0.6, 0.5)
389  just as good as other meta owned messaging ser...      (0.2920833333333333, 0.5870833333333334)
390  secure. can send texts and images quickly. but...      (0.3888888888888889, 0.6111111111111112)
391  new to it but wanted the privacy. seems pretty...      (0.2732323232323232, 0.7626262626262627)
392  really good app! it has all the features you c...                   (0.875, 0.6000000000000001)
393  awesome chat app with noch annoying story feat...      (0.3666666666666667, 0.8166666666666667)
