                                      extracted_emojis                               Sentiment_score
311  its a really good app to entertain you when yo...                    (0.09999999999999998, 0.8)
312  i enjoy all the creative options available on ...     (0.39285714285714285, 0.4904761904761905)
313  i like tik tok app very much but sometimes i f...     (-0.3249999999999999, 0.5633333333333334)
314  it is not economical. —consumes a lot of data....                               (0.1575, 0.475)
315  i love tiktok when i started using i never rea...      (0.2409090909090909, 0.5045454545454544)
316  having the most fun promoting my podcast: 'dud...                                  (0.635, 0.5)
317  continuously entertaining. shamefully, i lose ...                     (0.5, 0.6499999999999999)
318  this platform very nice  very quickly find any...     (0.48388888888888887, 0.6050000000000001)
319  tik tok is amazing it has literally everything...     (0.13333333333333333, 0.6055555555555555)
320  it's amazing what i taught myself to have some...                     (0.3333333333333334, 0.5)
321  i absolutely love tic-toc. it helps me totally...     (0.22232142857142856, 0.4585714285714286)
322  it's fun to use this app. i am enjoying. the a...                    (0.43333333333333335, 0.6)
323  wonderful and super excited app, i always refr...      (0.4770833333333333, 0.6541666666666667)
324  i literally be on this app everyday and it hel...                  (0.05000000000000002, 0.675)
325  great app transition is smooth throughout as w...                           (0.35625, 0.515625)
326  i love tiktok @ the photos yoo... the pixtures...                    (0.25, 0.3111111111111111)
327  i love the app but i hate when it upstate it's...   (-0.11249999999999999, 0.48750000000000004)
328  i love this app its full of fun and entertainm...     (0.3833333333333333, 0.49722222222222223)
329  i've already found some really interesting stu...                                   (0.45, 0.7)
330  amazing very entertaining and enjoyable also i...      (0.5134920634920634, 0.5855555555555556)
331  ever since i downloaded it...i've never gotten...                    (0.65, 0.9099999999999999)
332  it's really a good and fun app. so i'll advice...                                    (0.5, 0.4)
333  once you get the fyp manipulation down it's an...      (0.4563492063492064, 0.6341269841269842)
334  it's fun, it passes the time... there are some...                                   (0.65, 0.6)
335  this app works amazingly, but there's a couple...                    (0.23750000000000004, 0.7)
336  this app was amazing adds were shown as tiktok...      (0.5121212121212122, 0.7166666666666667)
337  tik tok is amazing   informative, social group...                    (0.33, 0.7493333333333334)
338  i don't get view on my videos . plus i'm not g...                  (0.42500000000000004, 0.825)
339  when tic took first made it's appearance, i sh...     (0.31988636363636364, 0.5571212121212121)
340  it just lets people open up and have fun. and ...                                  (0.35, 0.45)
341  is fantastic amazing it is a very good app you...      (0.4942857142857143, 0.7114285714285715)
342  it's an app where you see how people live and ...    (0.12878787878787878, 0.37777777777777777)
343  best thing i watch all day. there's action, co...    (0.29500000000000004, 0.40499999999999997)
344  good app kind of addicted well i am but thank ...                    (0.27812499999999996, 0.6)
345  it is perfect but i had youtube longer so i'm ...      (0.5833333333333334, 0.8333333333333334)
346  absolutely love this app! there's all sorts of...                               (0.4375, 0.425)
347  i love the full on entertainment that it gives...                         (0.606640625, 0.6875)
348  excellent app. super easy to make videos with ...      (0.4272727272727273, 0.7242424242424242)
349  i love this app it helps with people how has a...    (0.40277777777777773, 0.48055555555555557)
350  this app is like a time bank, right? the more ...     (0.28306122448979587, 0.5159183673469387)
351  the only app that shows what's really happenin...      (0.3857142857142857, 0.6619047619047619)
352  wonderful experience all the way around! easy ...      (0.5345959595959596, 0.7626262626262627)
353  it is fun i can make tons of videos like and f...     (0.18333333333333335, 0.7333333333333334)
354  tictok closed the gap in our ability to commun...    (0.13392857142857142, 0.39285714285714285)
355  amazing, this app has every thing from learnin...     (0.47500000000000003, 0.7250000000000001)
356  it keeps kicking me out... i can't edit most o...                                    (0.5, 0.5)
357  i found tiktok as a fantastic app to get conne...      (0.3666666666666667, 0.7000000000000001)
358  it's amazing, algorithms are annoying af at ti...                   (-0.09999999999999998, 0.9)
