                                      extracted_emojis                               Sentiment_score
346                                    waooo nice appp                                    (0.6, 1.0)
347                                 very good shooting      (0.9099999999999999, 0.7800000000000001)
348                                 this is a good app                     (0.7, 0.6000000000000001)
349                                           cool app                                  (0.35, 0.65)
350                                          great app                                   (0.8, 0.75)
351  while this app is obviously in beta and has a ...    (0.008333333333333333, 0.6166666666666667)
352                                               cool                                  (0.35, 0.65)
353                                               nice                                    (0.6, 1.0)
354                                              goood                                    (0.0, 0.0)
355                   finally !!!! the revolution!!!!!                                    (0.0, 1.0)
356                                         فوق العادس                                    (0.0, 0.0)
357                                          hhhooooom                                    (0.0, 0.0)
358                                                 /:                                    (0.0, 0.0)
359                               awesooooome!!!!!!!!!                                    (0.0, 0.0)
360                                                                                       (0.0, 0.0)
361  loving the app. love getting to see everyone's...                   (0.2714285714285714, 0.525)
362  this is everything i've been wanting and more....    (0.11666666666666664, 0.39895833333333336)
363  i had no trouble sign up for the app. in just ...     (0.26296296296296295, 0.5388888888888889)
364  update: give it time people they are being sla...     (0.08409090909090908, 0.5386363636363636)
365  i'm sure i'll like it if it will ever let me s...     (0.3333333333333333, 0.46296296296296297)
366  unlike some i had no issues with them sending ...     (0.17916666666666667, 0.7791666666666668)
367  this is a very interesting and new app. an ori...     (0.32642045454545454, 0.5630681818181817)
368  fantastic app, can't wait to see how this deve...               (-0.065625, 0.4942708333333334)
369  can everyone stop down star rating an app that...  (-0.022222222222222233, 0.22888888888888886)
370  i am really loving it. it has everything that ...     (0.33437500000000003, 0.5531250000000001)
371  all of the bad reviews are because they had an...   (-0.023737373737373713, 0.4727272727272728)
372  this is a beta. like most betas, it is a littl...     (0.13458333333333333, 0.6397222222222222)
373  just having control in what you post to whom a...    (0.16304563492063495, 0.42519841269841274)
374  solid app, i like it a lot more than instagram...    (0.08988095238095237, 0.45904761904761904)
375  the app is severely broken on android. it occa...     (0.19166666666666668, 0.5666666666666667)
376  well aware that the bugs are due to explosive ...    (0.23666666666666666, 0.47833333333333333)
377  i'm pretty happy with my experience so far. ho...      (0.2761363636363636, 0.7979545454545454)
378  amazing idea, all the pictures are such high q...      (0.2733333333333333, 0.6266666666666666)
379  a bit buggy and slow at the moment, but that's...      (0.1574074074074074, 0.4870370370370371)
380  i'm into it. it's so fun and refreshing to be ...    (0.19166666666666668, 0.40952380952380957)
381  i think it's a great app. hope facebook and in...                                 (0.2, 0.5375)
382  i'm super excited to have gotten here and be o...        (0.30995670995671, 0.6816017316017317)
383  this is a cool social app after you can get it...     (0.2302777777777778, 0.35805555555555557)
384  this app is great from what i seen. unfortunat...     (0.34500000000000003, 0.6442361111111111)
385  i love the idea, not just sharing photos but a...                   (0.18, 0.44000000000000006)
386  if vero takes off, i truly believe it will cha...     (0.11515151515151514, 0.3848484848484848)
387  this app is going to be the instagram killer, ...                   (0.20166666666666666, 0.36)
388  i absolutely love this app. i run my business ...      (0.4611111111111111, 0.6861111111111112)
389  so far i do like this app. with it desgin and ...                   (0.21000000000000002, 0.62)
390  very refreshing to see something like this. fa...     (0.13333333333333333, 0.6333333333333333)
391  for a beta, this app is fantastic. this will b...      (0.3607142857142857, 0.6126984126984126)
392  at first i did have trouble creating an accoun...     (0.18095238095238095, 0.3448412698412698)
393  i love that you can have multiple audiences. t...      (0.1142857142857143, 0.3428571428571429)
394  no adds... right now. sleek, aesthetically ple...       (0.474512987012987, 0.6150432900432901)
395  finally an escape from instsgram and facebooks...               (0.05625000000000001, 0.634375)
396  this app is amazing! much better than facebook...      (0.3291414141414142, 0.5680176767676768)
397  hello again, today im using vero more than eve...     (0.18147058823529416, 0.6863921568627451)
398  registration worked flawlessly for me. people ...      (0.2515873015873015, 0.5085317460317461)
399  excellent app. different than most social medi...     (0.18958333333333335, 0.4229166666666667)
400  i love the layout of this app and i've read ot...                            (0.09375, 0.49375)
401  i got to say i am so sick of ads on facebook a...                (-0.05452380952380953, 0.5975)
402  to everyone losing their minds over this bear ...    (0.07676767676767676, 0.45505050505050504)
403  app is in beta so of course it has it's bugs, ...    (-0.03333333333333336, 0.6333333333333333)
404  very good app, i hope it'll take over social m...     (0.27649999999999997, 0.4946666666666667)
405  seems like most of the bugs have been worked o...     (0.18819444444444444, 0.5673611111111111)
406  i'm excited to see where this platform goes! s...                 (0.50875, 0.5700000000000001)
407  still pretty new but i love the set up and lay...    (0.10738636363636363, 0.48295454545454547)
408  guys this app has potential to be the next big...     (0.04648760330578512, 0.5267768595041322)
409  a few glitches which is expected because the a...    (0.13616071428571427, 0.45357142857142857)
410  so much potential! it freezes and glitches som...                     (0.3091145833333333, 0.5)
411  this is what i call a social app! all the free...       (0.5426587301587301, 0.523015873015873)
412  i have high hopes for this app. everything see...      (0.2160544217687075, 0.5251020408163265)
413  this app is really cool. it's definitely in be...     (0.16571428571428568, 0.6314285714285716)
414  despite all the negative reviews people have b...     (0.17074592074592074, 0.4208624708624708)
415  for a beta version i think this app is actuall...     (0.23148148148148154, 0.5962962962962962)
416  this app seems super cool. i'm into it. it is ...     (0.19976082251082253, 0.5368138528138526)
417  their severs are getting absolutely hammered, ...     (0.22380952380952382, 0.4510204081632653)
418  i am loving this app!! few hiccups here and th...      (0.3793981481481482, 0.4767195767195768)
