                                      extracted_emojis                               Sentiment_score
247  awesome for professional trainings and network...                                  (0.55, 0.55)
248  this app is superb and so reliable in terms of...                                    (1.0, 1.0)
249    very helpful and more information and detailed.      (0.3666666666666667, 0.5166666666666667)
250  although i am yet to get a job placement throu...                                  (0.25, 0.75)
251  i am heal because of "linkedin" i was able to ...                                  (0.5, 0.625)
252  every year they make it better. i've landed my...                                  (0.36, 0.28)
253  love this app often i can lean and knowing the...                                    (0.5, 0.6)
254                       useful for job apportunities                                    (0.3, 0.0)
255  this app is very helpful for job opportunity a...    (0.44999999999999996, 0.45000000000000007)
256  excellent on building network and finding new ...      (0.5681818181818181, 0.7272727272727273)
257  linkedin is a great app. having been on it, i ...      (0.4590909090909091, 0.6261363636363636)
258               great up for professional networking                                 (0.45, 0.425)
259  awsome platform for professional to connect wo...                                    (0.2, 0.3)
260                     very full of great information                              (0.6275, 0.7325)
261  it's very easy to use and helpful to grow you ...                     (0.5633333333333334, 1.0)
262  excellent app virtually no glitches, almost fl...      (0.4928571428571429, 0.6428571428571429)
263  i have only been a member for a short period o...    (0.10555555555555557, 0.46111111111111114)
264  just the right app to get updates on my favori...     (0.39974489795918366, 0.5979591836734693)
265  it is always good to get connected through lin...                     (0.7, 0.6000000000000001)
266                     amazing app for jobless people                     (0.6000000000000001, 0.9)
267  awesome social media app for interacting with ...      (0.5256696428571429, 0.5428571428571429)
268  more effective platform employer and employes,...                     (0.5, 0.5666666666666668)
269  great job, but when i open the app, i tend to ...                                  (0.4, 0.625)
270  linkedin is always a safe place on the interne...                                   (0.4, 0.75)
271  love this app! make connections and much more ...      (0.3579545454545454, 0.5022727272727273)
272  over all, app experience is good. it would be ...      (0.4333333333333333, 0.5333333333333333)
273  inrolling computer spevialist and it support a...                                    (0.0, 0.0)
274  awesome! gives such amazing ways to connect to...      (0.4727272727272727, 0.7207792207792207)
275  i love everything about linkedin. however thro...    (-0.13333333333333333, 0.6666666666666666)
276  loving it, a helpful resource to help me find ...                                   (0.6, 0.95)
277  it's a very good platform for business n promo...      (0.9099999999999999, 0.7800000000000001)
278  i really enjoy using the linkedin app, it's ve...      (0.3666666666666667, 0.4766666666666667)
279  i like the professionalism of connecting with ...       (0.137012987012987, 0.3892857142857143)
280  better than having a website. the problem with...      (0.3666666666666667, 0.4666666666666666)
281  a very unestamated app i think it's a killa we...                                    (0.2, 0.3)
282  i think of linkedin as business knowledge care...    (0.09333333333333335, 0.23333333333333334)
283  this app is great for helping anyone find a gr...      (0.5714285714285714, 0.6339285714285714)
284  great for networking and keeping up to date wi...                                   (0.8, 0.75)
285  i've grown and shaped using this app. its not ...     (0.5208333333333334, 0.31111111111111106)
286  i love the way you give me all the infoclues i...                                    (0.5, 0.6)
287  best opportunity not get to be find it has adm...                                    (1.0, 0.3)
288  great platform for all kinds of commercial pur...                                  (0.4, 0.375)
289  linkedin helps in connecting with the people o...     (0.32222222222222224, 0.4722222222222223)
290  i've had a professional profile ever since i s...      (0.5333333333333333, 0.6666666666666666)
291  i'm imran i'm having a lot of trouble finding ...                    (0.0, 0.11666666666666667)
292  i'm back on this app after a few years and i l...    (0.09999999999999999, 0.11666666666666665)
293  after the latest update, the app doesn't work!...      (0.2673611111111111, 0.5666666666666667)
294  even if other apps are more helpful for a care...     (0.39166666666666666, 0.5416666666666666)
295  this app just changed my life man. by register...     (0.37083333333333335, 0.4541666666666667)
296  i first started my linkedin profile in 2016 ho...     (0.16944444444444443, 0.6944444444444443)
297  i love the app but is there anyway to recover ...      (0.4268939393939393, 0.5646464646464647)
298  the current version is more complicated than e...     (-0.2619047619047619, 0.7714285714285715)
299  great for networking and learning new skills o...     (0.42467532467532465, 0.6012987012987013)
300  i have a new galaxy a10 and often pages simply...     (0.2537878787878788, 0.43722943722943725)
301  love this app. makes my job searching less of ...     (0.08962962962962966, 0.4492592592592593)
302  great app to help caulages stay in touch, insp...      (0.1787878787878788, 0.5265151515151515)
303  linkedin provides an amazing resource of conne...     (0.17583333333333334, 0.6275000000000002)
304  finding your dreams job or by helping other, m...     (0.15416666666666667, 0.6041666666666667)
305  it is very good app untill it doesn't become i...     (0.39249999999999996, 0.5775000000000001)
306  i have changed my rating 1 to 5. i have faced ...                                (0.515, 0.615)
307  its like facebook, but good. and true. and rel...                 (0.45624999999999993, 0.5375)
308  great way to collaborate with fellow professio...      (0.3180555555555556, 0.5569444444444445)
309  best app for professionals expanding their opt...                           (0.221875, 0.44375)
310  i stopped visiting linkedin for some time now ...     (0.17833333333333332, 0.6092857142857142)
311     absolutely amazing for networking and learning                     (0.6000000000000001, 0.9)
312  hi i am not able to view the app content which...     (-0.06428571428571428, 0.530952380952381)
313  hey linkedin there is a small suggestion. can ...    (-0.04238095238095239, 0.4603571428571429)
314  i love the app. it helps me stay connected to ...                    (0.5, 0.48333333333333334)
315  its a good application to connect some busines...     (0.29610389610389604, 0.5870129870129871)
316          i love the app. thanks to the developers.                                   (0.35, 0.4)
317  excellent application for helping to finding j...                                    (1.0, 1.0)
318  i know it says linkedin: job search blah blah....    (0.19777777777777777, 0.31555555555555553)
319  great app to find a job, i have landed the las...                (0.26375, 0.40708333333333335)
320  best for college students for networking and j...                                    (1.0, 0.3)
321  amazing platform, its helped me in my career d...     (0.24727272727272726, 0.5228571428571429)
322         easy to use, keep you connected and posted     (0.43333333333333335, 0.8333333333333334)
323  truly an amazing application for connecting an...                    (0.5166666666666667, 0.75)
324  great way to connect with all those in the sam...     (0.47857142857142854, 0.5607142857142857)
325  i use it all the time for my professional worl...    (0.19666666666666668, 0.06666666666666667)
326  the new user interface just impressed me . fea...      (0.4199494949494949, 0.6813131313131313)
327  i have not been experiencing .linkin i've been...  (-0.020000000000000007, 0.24666666666666667)
328  easy to navigate, just few icons for a more de...      (0.3404761904761905, 0.5531746031746032)
329           cool and nice with lots of opportunities                                (0.475, 0.825)
330  i have no problems with the app once i got sig...                                    (0.2, 0.4)
331  convenience at its best. no longer need the br...                                    (1.0, 0.3)
332  right with features, appreciate the useful and...     (0.24380952380952378, 0.3538095238095238)
333  i am looking forward to linkedin mobile added ...                                    (0.0, 0.0)
334  the one and only app for developing profession...      (0.1282828282828283, 0.4368686868686869)
335  my experience with this app is absolutely . ho...    (0.24583333333333335, 0.49583333333333335)
336  best application for job posting and job requi...                                    (1.0, 0.3)
337  it's an amazing application  and it facilitate...     (0.28666666666666674, 0.5666666666666667)
338  a nice application for building professional c...                                  (0.35, 0.55)
339  great for networking with co-workers/friends. ...     (0.43560606060606055, 0.6392424242424243)
340  linkedin is very good in promoting different a...     (0.23199999999999998, 0.5760000000000001)
341  love the app. it's a great tool in my field. l...                                  (0.66, 0.77)
342  the absolute best business networking and job ...     (0.22479338842975205, 0.5566345270890726)
343  linkedin is one of the most efficient and best...     (0.5840909090909091, 0.47500000000000003)
344  "do business where business is done" is an ext...                               (0.18375, 0.66)
345  easy to navigate,best surport assistance i hav...     (0.43333333333333335, 0.8333333333333334)
346                      it's outstanding ... love it.                                 (0.5, 0.7375)
347  i love linkedin because it's so much more focu...     (0.21805555555555556, 0.3902777777777779)
348  i have had facials, massages, and eyebrow desi...    (0.41093750000000007, 0.47500000000000003)
349  i was not able to log into my account due to a...   (-0.03928571428571428, 0.37142857142857144)
350  i use google hangout, maps,apps,, chrome and i...                                  (0.25, 0.35)
351                          good for looking for work                     (0.7, 0.6000000000000001)
352  very good application ,searching for job& busi...      (0.9099999999999999, 0.7800000000000001)
353  amazing amazing amazing app! apart from my 20+...      (0.5310606060606061, 0.7666666666666667)
354  linkedin app is a bit more secure compared to ...    (0.32416666666666666, 0.47250000000000003)
355                   imazing app in connecting people                                    (0.0, 0.0)
356  the linkin app is very helpful and useful i re...                            (0.33125, 0.28125)
357  excellent tool for military transitioning to c...                                  (0.45, 0.55)
358  linkedin is one of the best if you're looking ...                                    (1.0, 0.3)
359  this article is well written and gives a true ...                  (0.22000000000000003, 0.725)
360  very comforting and safe environment. very pro...      (0.3904166666666667, 0.5383333333333333)
361  i removed the open to work frame but still it ...                                    (0.0, 0.5)
362  great app especially if you are looking , chan...                   (0.425, 0.7083333333333334)
363  a professional application that connects emplo...      (0.3666666666666667, 0.3666666666666667)
364  perfect app for professionals and non professi...                                    (1.0, 1.0)
365  linkedin totally changed the dynamic of job hu...    (-0.03703703703703703, 0.3925925925925926)
366  i believe that this application does everythin...                                    (0.5, 0.5)
367  just deleted my previous review and am i ever ...      (0.3449305555555555, 0.5227777777777778)
368  amazingly user friendly. it's a great and easi...                                 (0.635, 0.71)
369  great forum to network and learn. highly recom...                  (0.48000000000000004, 0.645)
370  i am prashant shitole. i am interested in it w...                  (0.04642857142857143, 0.325)
371  it's an amazing app for professionals to get g...      (0.4769047619047619, 0.5678571428571428)
372  very useful ,& informative. helps in professio...     (0.16727678571428573, 0.4075892857142857)
373    leadership learning platform for professionals.                                    (0.0, 0.0)
374  i dont use the app very often but when i do i ...      (0.3427083333333334, 0.5052083333333334)
375  it's good, if you like making connections, mak...      (0.273939393939394, 0.46090909090909093)
376  its purely professional connect. its really he...     (0.3333333333333333, 0.31666666666666665)
377  this is the best app for professionals. cograt...                                    (1.0, 0.3)
378  there's one problem with the new update. sendi...    (0.06818181818181818, 0.22727272727272727)
379  great app to use to keep up with your professi...     (0.4666666666666666, 0.48333333333333334)
380  the app works great and helps me stay connecte...                                   (1.0, 0.75)
381  great application!!!!!!!!!!!!!!!!!! even manag...                                  (1.0, 0.525)
382  great app....found jobs, friends, old colleagu...                                 (0.45, 0.475)
383  absolutely the best there is when you want to ...                  (0.325, 0.42500000000000004)
384  excellent app to get connected professionally....    (0.28541666666666665, 0.46666666666666673)
385  very good information sharing jobs recuritment...      (0.9099999999999999, 0.7800000000000001)
386  i love linkedin it has provided me with so muc...                            (0.4484375, 0.375)
387  superb media to convey what each one wishes to...                                    (1.0, 1.0)
388  i love that this app focuses on one goal and i...     (0.10561224489795917, 0.5857142857142856)
389  it's the best we have currently to build profe...     (0.3202020202020202, 0.43156565656565654)
390  this is an amazing and great app. i have just ...                 (0.30000000000000004, 0.4375)
391  i really appreciate the app which keep updated...                                   (0.32, 0.5)
392  very good app searching world discover a jobs ...                   (0.705, 0.6400000000000001)
393  best application to connecting with the profes...                                    (1.0, 0.3)
394  best way to connect with people to boost ours ...                                    (1.0, 0.3)
395  i have been blocked or locked out of my origin...                            (0.046875, 0.6125)
396  linkedin has been a phenomenal source for my p...                                    (0.3, 0.3)
397  it's been great so far. there are many useful ...                               (0.425, 0.5625)
398  professional connection is very vital and link...                   (0.306, 0.5439999999999999)
399  it's linkedin, lol. this review is basic. it's...     (0.43333333333333335, 0.5291666666666667)
400  i am retiring from one job and entering a new ...      (0.2681818181818182, 0.7272727272727273)
401  overall ux is bit clunky. you can make it more...                              (0.2375, 0.4125)
402  linkedin is an essential tool for my business ...                   (0.405, 0.6972222222222223)
403  excellent and high profile as always. it quick...                  (0.4295, 0.5588333333333334)
404  linkedin in so much more than just an app to s...     (0.5272727272727272, 0.45090909090909087)
