                                      extracted_emojis                               Sentiment_score
261  i love everything about instagram- photos, vid...                                  (0.25, 0.55)
262  instagram working very nice . but i am not sat...    (0.016000000000000014, 0.6399999999999999)
263  it's good until you get hacked but other than ...                  (0.35833333333333334, 0.525)
264  good i have a great time making reals although...     (0.40277777777777773, 0.6305555555555555)
265  really best... just there should be an option ...      (0.6777777777777777, 0.2222222222222222)
266  06/29/2022 i opened my camera and i couldn't t...                                   (0.05, 0.7)
267  i'm can't logging in to my account it's showin...   (0.0022727272727272735, 0.5375757575757575)
268  amazing app even my favorite app out of all ot...                                  (0.55, 0.95)
269  hey developers, we are facing problem while lo...                                    (0.0, 1.0)
270  it's amazing honestly but there's one little t...     (0.12812500000000004, 0.7999999999999999)
271  love the app, awesome to be able to document a...      (0.6666666666666666, 0.7416666666666667)
272  i actually got on instagram because, a close r...                (0.13125, 0.36458333333333337)
273  its amazing we can talk to our friend and many...                                (0.4475, 0.44)
274  amazing app. nit only entertainment but also e...                   (0.35000000000000003, 0.65)
275  i've used instagram for 5 years and love it so...    (0.16666666666666666, 0.18888888888888888)
276  blank screen go to the play store. i promise y...     (0.17261904761904764, 0.3448412698412699)
277  easily for most part. i just need to know how ...      (0.3444444444444445, 0.5777777777777778)
278  this app is very good and then you can even re...      (0.9099999999999999, 0.7800000000000001)
279  thanks for listening us to retract the immersi...     (0.14166666666666666, 0.4333333333333333)
280  i'm not social media person ,but instagram is ...     (0.19444444444444445, 0.4222222222222222)
281  it is great to share your great moments in lif...                     (0.8666666666666667, 0.6)
282  my instagram account has been disabled ,becaus...     (0.13888888888888887, 0.4777777777777778)
283  it's an amazing app like it helps me put my ma...                 (0.35000000000000003, 0.7625)
284  update¿?my ig send button dissapears out of no...     (0.01428571428571433, 0.3904761904761905)
285  it's going amazing,there is only one problem r...    (0.061111111111111116, 0.5333333333333333)
286  had deleted all social media apps for around 4...    (0.06666666666666668, 0.44000000000000006)
287  instagram is today one of the best social medi...    (0.44291666666666674, 0.43083333333333335)
288  very entertaining and knowledgeable also what ...      (0.4965909090909091, 0.6161363636363637)
289  insta is very useful things we show our talent...     (0.18000000000000002, 0.4866666666666667)
290  i have been using instagram for years, ever si...     (0.1945833333333333, 0.38999999999999996)
291  one of the most beautiful platform for local t...      (0.5583333333333332, 0.6083333333333333)
292  mvery nice app this. but one problem i show th...                                    (0.6, 1.0)
293  this app is easy to use, very informative, con...     (0.36666666666666664, 0.4491666666666666)
294  i rate 100out of 100to this app because its re...                                  (0.87, 0.86)
295  i'm loving it but there is a problem i can't r...                    (0.5333333333333333, 0.65)
296  they're doing a great job helping me reach mor...                                  (0.9, 0.625)
297  i like this app or his features i enjoy this a...     (0.21200000000000002, 0.4720000000000001)
298  enjoy posting photos still learning how to use...     (0.40727272727272723, 0.7109090909090909)
299  my experience while using insta is awful. it i...                            (-0.021875, 0.725)
300  great for finding the content you like without...     (0.09791666666666667, 0.3145833333333333)
301  full moj full masti i loved running these apps...                   (0.5249999999999999, 0.625)
302  instagram i like to see all the videos and all...      (0.3611111111111111, 0.8541666666666666)
303  one thing i like about instagram is you can me...     (0.2621212121212121, 0.48484848484848486)
304  i am using this app for very long time..this i...     (0.25875000000000004, 0.5279166666666666)
305  it so good we wach unique video love video fre...      (0.4791666666666667, 0.5833333333333334)
306  hi after doing the so much of uninstall and re...                                  (0.1, 0.375)
307  its really good to be on insta. i feel the tec...    (0.15208333333333332, 0.36041666666666666)
308  i love it ..this is a amazing platform for a c...     (0.30833333333333335, 0.7083333333333334)
309  it's a perfect app for making reels share vide...                                   (0.85, 0.8)
310  i love instagram it is a great place for me to...                   (0.575, 0.6375000000000001)
311  instagram is mind blazing but if the "select a...                                    (0.1, 0.4)
312  my whole instagram ui has been changed  i'm un...                               (-0.2125, 0.45)
313  originally there was a bug that prevented me f...                                 (0.355, 0.71)
314  a great past time for me. seeing what the worl...      (0.3145454545454545, 0.5845454545454545)
315  such a great experience . i have connected and...       (0.3619047619047619, 0.480952380952381)
316  instagram is so cool. infinity of entertainmen...      (0.2833333333333333, 0.4166666666666667)
317  this is one of the best app i ever used this i...     (0.39999999999999997, 0.3333333333333333)
318  it's an amazing app i have ever used all featu...      (0.4158333333333334, 0.7104166666666667)
319  can't believe i'm saying this about you guys b...    (-0.21071428571428572, 0.5428571428571429)
320  it's a very amazing app, i like it a lot, ther...      (0.5933333333333334, 0.8666666666666667)
321  iam very happy to say the review the app is cr...      (0.2777777777777778, 0.9222222222222222)
322  the best app ever i have seen just the problem...     (0.6666666666666666, 0.47500000000000003)
323  very good for networking and sharing info. mod...                    (0.4366666666666666, 0.46)
324  instagram is a good platform, very good videos...     (0.45249999999999996, 0.4200000000000001)
325  instagram oneof the top meadia app it is looks...                                 (0.175, 0.55)
326  till i had joined instagram, the only thing i ...                                  (0.12, 0.78)
